"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","35.0","137.0","1.0","1.0","12.0","0.0","0.4","20.5"
"Emanuel Wilson","SEA","70.2","290.5","1.7","7.7","52.1","0.0","0.5","51.3"
"","high","129.0","533.0","3.0","14.0","94.0","0.1","0.1","73.7"
"","low","11.4","48.0","0.4","1.4","10.3","0.0","1.0","16.2"
"Jaylen Wright","MIA","79.9","308.9","1.5","7.2","52.5","0.1","1.2","50.7"
"","high","104.0","384.0","2.0","7.5","55.9","0.2","0.5","46.2"
"","low","55.9","233.8","1.1","7.0","49.0","0.0","2.0","43.2"
"Jawhar Jordan","HOU","51.3","218.0","1.1","11.0","86.0","0.5","0.5","50.1"
"","high","90.0","382.0","2.0","22.0","172.0","1.0","0.0","67.0"
"","low","12.6","54.1","0.3","0.0","0.0","0.0","1.0","17.9"
"Jonah Coleman","DEN","48.8","203.2","1.6","10.2","74.8","0.4","0.2","49.4"
"","high","65.5","272.4","2.1","17.4","126.6","0.8","0.0","67.3"
"","low","32.0","134.0","1.0","3.0","23.0","0.0","0.3","22.2"
"Malik Davis","DAL","57.5","276.5","2.0","4.5","37.5","0.0","0.5","46.9"
"","high","115.0","553.0","4.0","9.0","75.0","0.0","0.0","76.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.5"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.1","0.4","0.1","43.8"
"","high","56.0","218.0","1.0","21.7","148.3","0.9","0.0","40.1"
"","low","8.0","34.0","0.2","9.0","50.0","0.0","0.1","35.3"
"Isaiah Davis","NYJ","35.1","174.7","1.2","9.9","78.7","0.2","0.1","43.4"
"","high","39.1","178.4","1.3","12.9","96.5","0.4","0.0","48.1"
"","low","31.0","171.0","1.0","7.0","61.0","0.0","0.1","27.9"
"George Holani","SEA","38.9","164.1","1.5","8.0","62.2","0.3","0.2","41.1"
"","high","38.9","164.1","1.5","8.0","62.2","0.3","0.2","41.5"
"","low","38.9","164.1","1.5","8.0","62.2","0.3","0.2","41.5"
"Ty Chandler","NO","51.0","138.0","1.0","12.0","58.0","0.0","0.0","37.6"
"","high","51.0","138.0","1.0","12.0","58.0","0.0","0.0","26.0"
"","low","51.0","138.0","1.0","12.0","58.0","0.0","0.0","26.0"
"Trayveon Williams","DET","32.0","138.0","1.0","9.0","77.0","0.0","0.0","36.5"
"","high","32.0","138.0","1.0","9.0","77.0","0.0","0.0","24.0"
"","low","32.0","138.0","1.0","9.0","77.0","0.0","0.0","24.0"
"Ray Davis","BUF","32.3","137.9","1.1","7.8","60.0","0.4","0.2","35.9"
"","high","32.3","137.9","1.1","7.8","60.0","0.4","0.2","38.1"
"","low","32.3","137.9","1.1","7.8","60.0","0.4","0.2","38.1"
"DJ Giddens","IND","33.3","140.5","1.0","8.4","58.3","0.3","0.2","35.8"
"","high","33.3","140.5","1.0","8.4","58.3","0.3","0.2","36.0"
"","low","33.3","140.5","1.0","8.4","58.3","0.3","0.2","36.0"
"Emmett Johnson","KC","39.8","166.2","1.3","5.7","41.2","0.2","0.1","35.1"
"","high","49.5","206.3","1.6","8.4","59.4","0.4","0.0","43.9"
"","low","30.0","126.0","1.0","3.0","23.0","0.0","0.2","17.7"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","35.0"
