"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","70.0","911.0","7.6","0.0","0.0","0.0","0.0","225.7"
"","low","63.0","848.0","7.0","0.0","0.0","0.0","0.5","192.4"
"Alec Pierce","IND","58.5","1010.6","6.4","0.0","0.0","0.0","0.3","197.6"
"","high","66.0","1067.0","9.0","0.0","0.0","0.0","0.0","223.2"
"","low","49.0","947.8","5.0","0.0","0.0","0.0","0.5","184.7"
"Marvin Harrison Jr.","ARI","67.3","945.0","6.0","0.0","0.0","0.0","0.3","197.2"
"","high","69.0","954.1","7.0","0.0","0.0","0.0","0.0","228.6"
"","low","64.0","933.0","5.0","0.0","0.0","0.0","0.6","192.3"
"Christian Watson","GB","57.6","930.4","7.3","1.7","8.0","0.0","0.3","195.2"
"","high","65.0","982.0","8.0","3.0","13.1","0.1","0.0","230.3"
"","low","53.0","866.1","7.0","0.0","0.0","0.0","0.5","187.9"
"DK Metcalf","PIT","64.3","926.8","6.1","0.7","3.3","0.3","0.2","195.2"
"","high","67.0","944.5","6.2","2.0","10.0","1.0","0.0","228.2"
"","low","61.0","892.0","6.0","0.0","0.0","0.0","0.5","187.3"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","190.3"
"","high","88.5","877.0","6.0","0.0","0.0","0.0","0.0","236.2"
"","low","76.0","678.0","3.9","0.0","0.0","0.0","0.7","174.5"
"Parker Washington","JAC","62.6","862.5","5.7","5.0","13.6","0.1","0.4","184.3"
"","high","63.8","925.0","7.0","8.0","38.9","0.3","0.0","204.8"
"","low","62.0","812.0","5.0","0.0","0.0","0.0","0.8","186.1"
"Brian Thomas Jr.","JAC","58.0","872.2","5.4","2.7","17.7","0.4","0.2","181.2"
"","high","61.0","942.0","6.0","4.0","30.0","1.0","0.0","197.4"
"","low","56.0","814.0","5.0","0.0","0.0","0.0","0.3","177.6"
"Wan'Dale Robinson","TEN","79.9","805.9","3.3","2.0","9.5","0.1","0.3","181.1"
"","high","84.0","823.8","4.0","4.1","22.5","0.2","0.0","222.0"
"","low","77.0","796.0","2.0","0.0","0.0","0.0","0.6","173.9"
"Jakobi Meyers","JAC","68.3","787.7","5.1","4.3","22.7","0.1","0.8","178.7"
"","high","69.8","814.0","5.2","6.0","32.0","0.3","0.6","211.9"
"","low","67.0","767.1","5.0","3.0","17.0","0.0","1.0","169.3"
"Carnell Tate","TEN","65.2","887.6","4.5","0.7","3.0","0.0","1.4","178.4"
"","high","74.5","1023.7","5.0","2.0","9.0","0.0","0.8","214.4"
"","low","56.0","772.0","4.0","0.0","0.0","0.0","2.0","154.2"
"Michael Wilson","ARI","67.5","826.4","4.5","0.0","0.7","0.0","0.2","176.6"
"","high","70.6","860.3","6.0","0.0","2.0","0.0","0.0","206.7"
"","low","66.0","797.0","3.4","0.0","0.0","0.0","0.4","173.5"
"Jayden Reed","GB","63.1","757.7","4.8","12.0","86.9","0.1","0.4","176.4"
"","high","66.0","815.0","5.0","16.0","128.0","0.4","0.0","214.4"
"","low","60.0","727.2","4.4","9.0","64.8","0.0","0.8","164.1"
"Chris Godwin Jr.","TB","67.8","773.9","5.2","0.3","0.3","0.0","0.3","175.7"
"","high","75.0","842.0","6.0","1.0","1.0","0.0","0.0","209.7"
"","low","60.4","700.8","4.5","0.0","0.0","0.0","0.6","164.8"
"Quentin Johnston","LAC","53.6","757.3","6.9","1.7","5.9","0.0","0.7","169.9"
"","high","58.0","787.0","9.0","3.0","10.8","0.1","0.5","185.3"
"","low","50.0","707.0","5.6","0.0","0.0","0.0","1.0","166.2"
"Josh Downs","IND","71.5","731.6","4.2","1.4","4.2","0.0","0.8","169.1"
"","high","76.0","787.0","6.0","2.1","10.7","0.1","0.6","212.2"
"","low","68.0","696.8","2.7","0.0","0.0","0.0","1.0","158.8"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","168.9"
"","high","60.5","770.3","6.0","3.0","78.0","1.0","0.0","191.5"
"","low","50.0","736.0","5.0","2.0","14.4","0.0","0.4","165.2"
"Deebo Samuel Sr.","SF","58.3","666.2","4.5","29.1","111.7","1.1","0.4","168.8"
"","high","65.0","681.4","5.0","36.0","114.0","1.1","0.0","167.7"
"","low","51.5","651.0","4.0","22.1","109.4","1.0","0.8","154.3"
"Xavier Worthy","KC","55.2","722.7","4.2","15.5","99.4","0.9","0.2","167.5"
"","high","57.0","789.2","4.6","22.0","146.0","1.0","0.0","194.8"
"","low","53.0","644.0","4.0","12.0","76.0","0.6","0.3","146.2"
"Stefon Diggs","WAS","67.0","747.5","4.2","0.3","0.7","0.0","0.2","166.3"
"","high","71.1","766.0","5.0","1.0","2.0","0.0","0.0","204.6"
"","low","62.0","726.5","3.5","0.0","0.0","0.0","0.5","158.0"
"Matthew Golden","GB","56.8","787.0","4.3","8.2","40.9","0.1","0.4","165.5"
"","high","66.7","870.1","4.7","12.0","57.0","0.2","0.0","175.1"
"","low","47.0","704.0","4.0","4.5","24.8","0.0","0.7","145.8"
"Khalil Shakir","BUF","69.7","726.3","3.9","1.1","5.5","0.0","0.8","164.9"
"","high","72.0","766.0","4.0","2.3","12.5","0.1","0.6","206.3"
"","low","67.0","648.0","3.7","0.0","0.0","0.0","1.0","147.7"
"KC Concepcion","CLE","60.1","779.1","3.6","4.2","22.5","0.1","1.3","159.6"
"","high","62.0","831.0","4.0","6.4","35.0","0.2","0.7","156.1"
"","low","58.1","727.2","3.2","2.0","10.0","0.0","2.0","153.1"
"Keenan Allen","IND","62.0","675.0","5.0","0.0","0.0","0.0","0.0","159.5"
"","high","62.0","675.0","5.0","0.0","0.0","0.0","0.0","150.0"
"","low","62.0","675.0","5.0","0.0","0.0","0.0","0.0","150.0"
"Jalen Coker","CAR","60.7","717.5","4.5","0.0","0.0","0.0","0.8","157.7"
"","high","61.4","746.0","6.0","0.0","0.0","0.0","0.6","160.7"
"","low","60.0","689.0","3.0","0.0","0.0","0.0","1.0","146.5"
