player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Malik Washington,MIA,WR,malikwashington,112.1,125.14,99.07,99.07,125.14,26.07,73,243,112.1,,,,0.0,,,,,False,False,,,
Travis Hunter,JAC,WR,travishunter,111.94,111.94,111.94,111.94,111.94,0.0,74,245,111.8,,,,0.0,,,,,False,False,,,
Germie Bernard,PIT,WR,germiebernard,109.05,112.07,106.64,106.64,112.07,5.43,75,248,109.2,,,,0.0,,,,,False,False,,,
Kayshon Boutte,NE,WR,kayshonboutte,108.95,130.9,87.3,87.3,130.9,43.6,76,249,109.1,,,,0.0,,,,,False,False,,,
Dontayvion Wicks,PHI,WR,dontayvionwicks,107.88,107.88,107.88,107.88,107.88,0.0,77,251,107.9,,,,0.0,,,,,False,False,,,
Bub Means,NO,WR,bubmeans,106.5,106.5,106.5,106.5,106.5,0.0,78,252,106.5,,,,0.0,,,,,False,False,,,
Caleb Douglas,MIA,WR,calebdouglas,105.49,121.38,89.5,89.5,121.38,31.88,79,254,105.4,,,,0.0,,,,,False,False,,,
Antonio Williams,WAS,WR,antoniowilliams,103.89,136.84,71.65,71.65,136.84,65.19,80,255,104.2,,,,0.0,,,,,False,False,,,
Troy Franklin,DEN,WR,troyfranklin,100.1,152.3,48.5,48.5,152.3,103.8,81,259,100.3,,,,0.0,,,,,False,False,,,
Darius Slayton,NYG,WR,dariusslayton,99.77,114.32,85.92,85.92,114.32,28.4,82,260,100.1,,,,0.0,,,,,False,False,,,
Chris Bell,MIA,WR,chrisbell,94.94,129.9,59.98,59.98,129.9,69.92,83,268,94.8,,,,0.0,,,,,False,False,,,
Tory Horton,SEA,WR,toryhorton,94.75,125.6,63.3,63.3,125.6,62.3,84,269,94.5,,,,0.0,,,,,False,False,,,
Xavier Legette,CAR,WR,xavierlegette,94.14,94.14,94.14,94.14,94.14,0.0,85,271,93.8,,,,0.0,,,,,False,False,,,
Omar Cooper Jr.,NYJ,WR,omarcooper,93.73,121.4,64.67,64.67,121.4,56.73,86,272,93.1,,,,0.0,,,,,False,False,,,
Tyquan Thornton,KC,WR,tyquanthornton,92.97,108.6,77.33,77.33,108.6,31.27,87,273,92.9,,,,0.0,,,,,False,False,,,
Jahan Dotson,ATL,WR,jahandotson,92.73,92.73,92.73,92.73,92.73,0.0,88,275,92.5,,,,0.0,,,,,False,False,,,
