player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Amon-Ra St. Brown,DET,WR,amonrastbrown,319.87,329.57,311.2,311.2,329.57,18.37,4,24,319.8,,,,0.0,9.0,4.0,320.0,,True,True,WR/TE Flex,9,-0.13
Drake London,ATL,WR,drakelondon,287.06,322.3,263.97,263.97,322.3,58.33,5,35,287.1,,,,0.0,15.0,5.0,287.0,,True,True,WR/TE Flex,15,0.06
Rashee Rice,KC,WR,rasheerice,274.16,312.68,240.8,240.8,312.68,71.88,6,38,274.1,,,,0.0,20.0,6.0,274.0,,True,True,WR/TE Flex,20,0.16
CeeDee Lamb,DAL,WR,ceedeelamb,272.74,295.65,239.3,239.3,295.65,56.35,7,40,273.0,,,,0.0,23.0,7.0,273.0,,True,True,WR/TE Flex,23,-0.26
Justin Jefferson,MIN,WR,justinjefferson,272.54,294.43,258.5,258.5,294.43,35.93,8,41,272.8,,,,0.0,24.0,8.0,273.0,,True,True,WR/TE Flex,24,-0.46
Chris Olave,NO,WR,chrisolave,259.54,282.2,241.3,241.3,282.2,40.9,9,47,259.5,,,,0.0,32.0,9.0,259.0,,True,True,WR/TE Flex,32,0.54
A.J. Brown,NE,WR,ajbrown,255.47,274.6,242.3,242.3,274.6,32.3,10,50,255.2,,,,0.0,35.0,10.0,255.0,,True,True,WR/TE Flex,35,0.47
George Pickens,DAL,WR,georgepickens,252.15,292.8,224.4,224.4,292.8,68.4,11,54,252.0,,,,0.0,39.0,11.0,252.0,,True,True,WR/TE Flex,39,0.15
Nico Collins,HOU,WR,nicocollins,248.95,263.7,236.4,236.4,263.7,27.3,12,55,248.4,,,,0.0,41.0,12.0,248.0,,True,True,WR/TE Flex,41,0.95
Garrett Wilson,NYJ,WR,garrettwilson,242.71,271.31,212.4,212.4,271.31,58.91,13,59,242.9,,,,0.0,44.0,13.0,243.0,,True,True,WR/TE Flex,44,-0.29
Zay Flowers,BAL,WR,zayflowers,241.8,259.3,225.44,225.44,259.3,33.86,14,60,241.8,,,,0.0,45.0,14.0,242.0,DTD,True,True,WR/TE Flex,45,-0.2
Malik Nabers,NYG,WR,maliknabers,240.32,269.07,220.1,220.1,269.07,48.97,15,62,240.3,,,,0.0,48.0,15.0,238.0,DTD,True,True,WR/TE Flex,48,2.32
DeVonta Smith,PHI,WR,devontasmith,236.7,242.4,230.0,230.0,242.4,12.4,16,64,236.9,,,,0.0,49.0,16.0,237.0,DTD,True,True,WR/TE Flex,49,-0.3
Tetairoa McMillan,CAR,WR,tetairoamcmillan,233.6,248.51,219.5,219.5,248.51,29.01,17,66,233.7,,,,0.0,51.0,17.0,234.0,,True,True,WR/TE Flex,51,-0.4
Emeka Egbuka,TB,WR,emekaegbuka,228.18,240.53,215.0,215.0,240.53,25.53,18,68,228.3,,,,0.0,56.0,18.0,228.0,DTD,True,True,WR/TE Flex,56,0.18
Davante Adams,LAR,WR,davanteadams,222.22,235.25,211.8,211.8,235.25,23.45,19,71,222.3,,,,0.0,67.0,19.0,222.0,,True,True,WR/TE Flex,58,0.22
Tee Higgins,CIN,WR,teehiggins,221.54,243.4,202.8,202.8,243.4,40.6,20,72,221.7,,,,0.0,68.0,20.0,222.0,,True,True,WR/TE Flex,59,-0.46
Ladd McConkey,LAC,WR,laddmcconkey,220.41,233.94,206.4,206.4,233.94,27.54,21,73,220.3,,,,0.0,69.0,21.0,220.0,,True,True,WR/TE Flex,60,0.41
Jameson Williams,DET,WR,jamesonwilliams,217.37,227.31,202.92,202.92,227.31,24.39,22,74,217.3,,,,0.0,70.0,22.0,217.0,,True,True,WR/TE Flex,61,0.37
Terry McLaurin,WAS,WR,terrymclaurin,210.08,242.44,192.5,192.5,242.44,49.94,23,78,209.9,,,,0.0,76.0,24.0,210.0,,True,True,WR/TE Flex,64,0.08
Jaylen Waddle,DEN,WR,jaylenwaddle,210.06,215.3,205.3,205.3,215.3,10.0,24,79,210.2,,,,0.0,74.0,23.0,210.0,,True,True,WR/TE Flex,63,0.06
DJ Moore,BUF,WR,djmoore,208.71,227.4,186.3,186.3,227.4,41.1,25,80,208.5,,,,0.0,77.0,25.0,208.0,,True,True,WR/TE Flex,65,0.71
Luther Burden III,CHI,WR,lutherburden,208.03,224.05,195.0,195.0,224.05,29.05,26,81,208.1,,,,0.0,78.0,26.0,208.0,DTD,True,True,WR/TE Flex,66,0.03
Rome Odunze,CHI,WR,romeodunze,205.07,218.71,191.7,191.7,218.71,27.01,27,83,205.1,,,,0.0,83.0,28.0,205.0,,True,True,WR/TE Flex,69,0.07
Mike Evans,SF,WR,mikeevans,204.08,223.4,182.03,182.03,223.4,41.37,28,84,203.8,,,,0.0,84.0,29.0,204.0,DTD,True,True,WR/TE Flex,70,0.08
Courtland Sutton,DEN,WR,courtlandsutton,198.67,206.7,188.8,188.8,206.7,17.9,29,87,198.6,,,,0.0,88.0,30.0,199.0,,True,True,WR/TE Flex,72,-0.33
Alec Pierce,IND,WR,alecpierce,197.36,226.7,172.78,172.78,226.7,53.92,30,89,197.6,,,,0.0,79.0,27.0,206.0,PUP,True,True,WR/TE Flex,67,-8.64
Marvin Harrison Jr.,ARI,WR,marvinharrison,197.2,206.41,186.1,186.1,206.41,20.31,31,90,197.2,,,,0.0,89.0,31.0,197.0,,True,True,WR/TE Flex,73,0.2
DK Metcalf,PIT,WR,dkmetcalf,195.31,205.65,185.2,185.2,205.65,20.45,32,94,195.2,,,,0.0,93.0,33.0,195.0,DTD,True,True,WR/TE Flex,75,0.31
Christian Watson,GB,WR,christianwatson,194.64,213.11,180.61,180.61,213.11,32.5,33,95,195.2,,,,0.0,92.0,32.0,195.0,,True,True,WR/TE Flex,74,-0.36
Michael Pittman Jr.,PIT,WR,michaelpittman,190.51,212.2,165.8,165.8,212.2,46.4,34,99,190.3,,,,0.0,98.0,34.0,190.0,DTD,True,True,WR/TE Flex,78,0.51
Parker Washington,JAC,WR,parkerwashington,184.21,203.99,171.6,171.6,203.99,32.39,35,106,184.3,,,,0.0,102.0,35.0,184.0,,True,True,WR/TE Flex,81,0.21
Brian Thomas Jr.,JAC,WR,brianthomas,181.39,200.2,166.8,166.8,200.2,33.4,36,108,181.2,,,,0.0,106.0,36.0,181.0,,True,True,WR/TE Flex,83,0.39
Wan'Dale Robinson,TEN,WR,wandalerobinson,181.24,193.83,167.4,167.4,193.83,26.43,37,110,181.1,,,,0.0,107.0,37.0,181.0,,True,False,,,0.24
Jakobi Meyers,JAC,WR,jakobimeyers,178.94,186.2,173.41,173.41,186.2,12.79,38,114,178.7,,,,0.0,112.0,38.0,179.0,,True,False,,,-0.06
Carnell Tate,TEN,WR,carnelltate,178.46,206.17,153.2,153.2,206.17,52.97,39,116,178.4,,,,0.0,113.0,39.0,178.0,,True,False,,,0.46
Michael Wilson,ARI,WR,michaelwilson,176.81,192.83,165.3,165.3,192.83,27.53,40,118,176.6,,,,0.0,115.0,41.0,177.0,,True,False,,,-0.19
Jayden Reed,GB,WR,jaydenreed,176.16,192.7,164.0,164.0,192.7,28.7,41,120,176.4,,,,0.0,116.0,42.0,176.0,,True,False,,,0.16
