chopped_rank,tier,position,position_rank,player,team,bye,roster_pool,chopped_value,baseline_half_ppr_projection,modeled_available_points,projection_floor,projection_ceiling,expected_starts,expected_starting_points,week_1_start_pct,week_8_start_pct,week_14_start_pct,week_17_start_pct,ir_priority,news_adjustment,source_url
160,6,WR,46,Deebo Samuel Sr.,SF,8,Starter pool,68,139.74,130.85,130.19,148.64,4.08,41.55,64.5,0,2.9,0.3,,,
161,6,K,17,Nick Folk,ATL,11,Starter pool,68,128.6,122.36,109,151,8.23,69.73,100,58.3,21.5,6.8,,,
162,6,WR,47,Matthew Golden,GB,11,Starter pool,67,136.79,129.05,118.98,155.46,4.02,40.84,62,27.4,3,0.3,,,
163,7,RB,41,Blake Corum,LAR,11,Starter pool,66,132.34,125.72,115,150.41,3.68,38.33,55.3,25.7,3.2,0.3,,,
164,7,DST,16,Chicago Bears,CHI,10,Starter pool,65,101,107.33,89,151.2,7.75,59.25,100,56.8,13.4,3.4,,,
165,7,K,18,Evan McPherson,CIN,6,Starter pool,65,128.7,122.71,121,142.1,7.98,67.58,100,59.7,21.1,5.6,,,
166,7,WR,48,Josh Downs,IND,13,Starter pool,64,132.93,127.6,117.88,153.17,3.94,39.84,59.4,25.6,2.7,0.2,,,
167,7,DST,17,Tampa Bay Buccaneers,TB,10,Starter pool,61,97.3,105.11,92.8,143.2,7.45,55.74,100,53.6,12,3.1,,,
168,7,TE,19,Dalton Schultz,HOU,8,Bench pool,60,115.77,109.21,102.57,127.9,3.89,35.12,53.2,0,8.2,1.3,,,
169,7,DST,18,Green Bay Packers,GB,11,Starter pool,55,95.3,101.64,90.3,139.5,6.96,50.69,100,48.8,8.9,2,,,
170,7,RB,42,Josh Jacobs,GB,11,Bench pool,55,230.61,74.52,0,174.64,2.92,45.8,0,13.2,38,12.4,IR/Exempt stash 1 (confirm platform eligibility),Commissioner's Exempt List; modeled return Weeks 5/9/13 or miss season,https://www.nfl.com/news/nfl-places-packers-rb-josh-jacobs-commissioner-exempt-list
171,7,WR,49,Rashid Shaheed,SEA,11,Starter pool,54,132.37,123.83,113.72,149.8,3.36,33.5,55.3,21.7,2,0.2,,,
172,7,WR,50,Stefon Diggs,WAS,7,Bench pool,54,133.12,125.11,123.65,142.35,3.35,33.49,56.9,22.9,2.2,0.2,,,
173,7,WR,51,KC Concepcion,CLE,11,Bench pool,51,129.81,122.44,117.97,141.4,3.22,31.88,52.8,20.9,1.6,0.1,,,
174,7,WR,52,Romeo Doubs,NE,11,Bench pool,49,128.83,121.7,121.89,136.7,3.11,30.66,52.6,19.8,1.8,0.1,,,
175,7,TE,20,T.J. Hockenson,MIN,6,Bench pool,47,108.8,104.06,95.3,126.79,3.13,27.69,46.8,23.7,5.7,0.9,,,
176,7,WR,53,Keenan Allen,IND,13,Bench pool,47,128.5,120.63,128.5,128.5,3.06,29.99,50.6,18.7,1.4,0.1,,,
177,7,WR,54,Khalil Shakir,BUF,7,Bench pool,46,129.83,120.87,118.5,137.25,2.88,28.41,51.5,19,1.4,0.1,,,
178,7,WR,55,Jalen Coker,CAR,5,Bench pool,44,127.5,120.34,114.9,140.1,2.79,27.48,51.6,18.6,1.5,0.2,,,
179,7,WR,56,De'Zhaun Stribling,SF,8,Bench pool,42,126.06,118.09,105.36,146.2,2.68,26.16,48,0,1.2,0.1,,,
180,7,QB,26,Geno Smith,NYJ,13,Bench pool,42,264.06,247.89,223.1,304.11,1.42,29.55,21.9,9.3,1.6,0.3,,,
181,7,WR,57,Calvin Ridley,TEN,9,Bench pool,41,124.75,117.33,110.78,139.31,2.66,25.89,46.6,16.3,1.3,0.1,,,
182,7,QB,27,Jacoby Brissett,ARI,14,Bench pool,40,260.69,245.69,211.38,312.7,1.35,28.09,20.4,8.9,0,0.2,,,
183,7,TE,21,Pat Freiermuth,PIT,9,Bench pool,40,107.9,99.48,89.9,120.26,2.76,23.96,41.2,19.6,4.3,0.9,,,
184,7,TE,22,Kenyon Sadiq,NYJ,13,Bench pool,40,102.71,97.74,75,132.48,2.69,23.48,38.4,18.9,4.3,0.7,,,
185,7,WR,58,Makai Lemon,PHI,10,Bench pool,39,124.67,116.59,119.75,129.14,2.58,24.94,45.4,15.8,1,0.1,,,
